timestamp,measured_distance_mm,measured_distance_without_drift_mm,true_distance_mm,drift_ppm,FP_power,RX_power
2025-07-04T14:44:37.683858,846,656,820,-2111,-8508,-8451
2025-07-04T14:44:37.690085,1517,1139,1440,-4196,-8884,-8066
2025-07-04T14:44:37.696205,1738,1458,1710,-3113,-8773,-7974
2025-07-04T14:44:37.883940,772,586,820,-2073,-8101,-8041
2025-07-04T14:44:37.890151,1484,1099,1440,-4280,-8739,-8041
2025-07-04T14:44:37.896504,1723,1435,1710,-3210,-8684,-8018
2025-07-04T14:44:38.083973,769,567,820,-2250,-8102,-8018
2025-07-04T14:44:38.090091,1498,1113,1440,-4269,-8743,-8066
2025-07-04T14:44:38.096264,1745,1458,1710,-3189,-8807,-8018
2025-07-04T14:44:38.284031,852,666,820,-2070,-8412,-8358
2025-07-04T14:44:38.290139,1463,1090,1440,-4148,-8748,-7954
2025-07-04T14:44:38.296325,1703,1414,1710,-3218,-8890,-8137
2025-07-04T14:44:38.484051,776,609,820,-1850,-8453,-8410
2025-07-04T14:44:38.490242,1450,1069,1440,-4240,-8720,-7954
2025-07-04T14:44:38.496445,1748,1461,1710,-3200,-8734,-7995
2025-07-04T14:44:38.684147,776,579,820,-2192,-8114,-8057
2025-07-04T14:44:38.690216,1447,1067,1440,-4232,-8815,-8066
2025-07-04T14:44:38.696430,1708,1418,1710,-3219,-8673,-7970
2025-07-04T14:44:38.884093,800,605,820,-2168,-8327,-8313
2025-07-04T14:44:38.890424,1477,1092,1440,-4279,-9058,-8451
2025-07-04T14:44:38.896490,1721,1423,1710,-3312,-8701,-7995
2025-07-04T14:44:39.084153,757,567,820,-2107,-8149,-8041
2025-07-04T14:44:39.090278,1476,1099,1440,-4183,-8731,-8092
2025-07-04T14:44:39.096438,1729,1430,1710,-3327,-8822,-7995
2025-07-04T14:44:39.284140,775,595,820,-2003,-8094,-8041
2025-07-04T14:44:39.290285,1414,1041,1440,-4151,-8784,-8092
2025-07-04T14:44:39.296481,1738,1458,1710,-3113,-8670,-7995
2025-07-04T14:44:39.484257,840,661,820,-1990,-8506,-8451
2025-07-04T14:44:39.490374,1469,1099,1440,-4106,-8754,-8041
2025-07-04T14:44:39.496528,1786,1491,1710,-3279,-8769,-7974
2025-07-04T14:44:39.684215,839,642,820,-2184,-8540,-8518
2025-07-04T14:44:39.690462,1454,1076,1440,-4205,-8815,-8041
2025-07-04T14:44:39.696600,1705,1407,1710,-3321,-8928,-8120
2025-07-04T14:44:39.884261,746,562,820,-2044,-8115,-8041
2025-07-04T14:44:39.890448,1474,1095,1440,-4212,-8641,-7954
2025-07-04T14:44:39.896574,1720,1414,1710,-3403,-8839,-7974
2025-07-04T14:44:40.084346,833,649,820,-2047,-8329,-8313
2025-07-04T14:44:40.090564,1469,1081,1440,-4312,-8621,-7954
2025-07-04T14:44:40.096643,1760,1465,1710,-3272,-8799,-7974
2025-07-04T14:44:40.284385,786,590,820,-2179,-8073,-8018
2025-07-04T14:44:40.290553,1448,1074,1440,-4162,-8712,-7935
2025-07-04T14:44:40.296807,1733,1428,1710,-3394,-8807,-8217
2025-07-04T14:44:40.484369,743,562,820,-2013,-8131,-8034
2025-07-04T14:44:40.490571,1451,1071,1440,-4226,-8737,-8041
2025-07-04T14:44:40.496685,1731,1444,1710,-3188,-8889,-8120
2025-07-04T14:44:40.684542,818,630,820,-2083,-8463,-8410
2025-07-04T14:44:40.690614,1433,1055,1440,-4208,-8863,-8041
2025-07-04T14:44:40.696730,1700,1416,1710,-3160,-8899,-8120
2025-07-04T14:44:40.884456,830,651,820,-1990,-8573,-8518
2025-07-04T14:44:40.890646,1465,1088,1440,-4198,-8831,-8041
2025-07-04T14:44:40.896791,1709,1425,1710,-3155,-8902,-8120
2025-07-04T14:44:41.084625,758,569,820,-2097,-8125,-8082
2025-07-04T14:44:41.090629,1458,1081,1440,-4191,-8835,-8041
2025-07-04T14:44:41.096877,1752,1461,1710,-3235,-8849,-8120
2025-07-04T14:44:41.284560,768,581,820,-2081,-8138,-8066
2025-07-04T14:44:41.290688,1477,1116,1440,-4015,-9015,-8296
2025-07-04T14:44:41.296872,1699,1411,1710,-3203,-8877,-8120
2025-07-04T14:44:41.484641,807,609,820,-2202,-8071,-8041
2025-07-04T14:44:41.490748,1502,1135,1440,-4079,-8669,-7974
2025-07-04T14:44:41.496849,1692,1414,1710,-3098,-8830,-8217
2025-07-04T14:44:41.684642,813,635,820,-1983,-8477,-8468
2025-07-04T14:44:41.690727,1509,1137,1440,-4135,-8745,-8066
2025-07-04T14:44:41.696934,1743,1446,1710,-3292,-8794,-7974
2025-07-04T14:44:41.884736,794,602,820,-2137,-8368,-8342
2025-07-04T14:44:41.890778,1509,1130,1440,-4219,-9015,-8296
2025-07-04T14:44:41.896943,1739,1458,1710,-3122,-8863,-8182
2025-07-04T14:44:42.084711,782,595,820,-2081,-8136,-8034
2025-07-04T14:44:42.090807,1503,1130,1440,-4147,-8738,-8066
2025-07-04T14:44:42.096923,1693,1404,1710,-3208,-8845,-8092
2025-07-04T14:44:42.284702,787,602,820,-2049,-8353,-8342
2025-07-04T14:44:42.290856,1442,1064,1440,-4203,-8743,-8066
2025-07-04T14:44:42.297012,1699,1411,1710,-3200,-8860,-8092
2025-07-04T14:44:42.484742,836,649,820,-2075,-8556,-8518
2025-07-04T14:44:42.490874,1433,1067,1440,-4070,-8804,-8066
2025-07-04T14:44:42.497034,1707,1428,1710,-3100,-8851,-8092
2025-07-04T14:44:42.684758,792,602,820,-2104,-8435,-8393
2025-07-04T14:44:42.690966,1468,1095,1440,-4153,-8774,-8041
2025-07-04T14:44:42.697088,1737,1449,1710,-3204,-8824,-7974
2025-07-04T14:44:42.884819,796,621,820,-1944,-8161,-8120
2025-07-04T14:44:42.891042,1452,1076,1440,-4179,-9136,-8451
2025-07-04T14:44:42.897148,1714,1425,1710,-3212,-8723,-7974
2025-07-04T14:44:43.084941,740,562,820,-1970,-8174,-8066
2025-07-04T14:44:43.091123,1518,1144,1440,-4156,-8761,-8041
2025-07-04T14:44:43.097168,1712,1421,1710,-3238,-8739,-7974
2025-07-04T14:44:43.284922,875,680,820,-2173,-8564,-8468
2025-07-04T14:44:43.291052,1457,1083,1440,-4155,-8729,-7954
2025-07-04T14:44:43.297207,1707,1414,1710,-3257,-8831,-8217
2025-07-04T14:44:43.484923,803,607,820,-2181,-8338,-8313
2025-07-04T14:44:43.491119,1467,1092,1440,-4166,-8681,-7974
2025-07-04T14:44:43.497243,1759,1465,1710,-3260,-8722,-7974
2025-07-04T14:44:43.685038,767,588,820,-1984,-8186,-8092
2025-07-04T14:44:43.691120,1476,1111,1440,-4059,-8843,-8066
2025-07-04T14:44:43.697322,1754,1458,1710,-3293,-8943,-8120
2025-07-04T14:44:43.885006,798,614,820,-2045,-8351,-8342
2025-07-04T14:44:43.891270,1441,1057,1440,-4262,-8961,-8296
2025-07-04T14:44:43.897329,1713,1423,1710,-3220,-8805,-7954
2025-07-04T14:44:44.085039,773,593,820,-1998,-8337,-8296
2025-07-04T14:44:44.091196,1446,1076,1440,-4109,-8740,-8041
2025-07-04T14:44:44.097388,1676,1388,1710,-3198,-9123,-8342
2025-07-04T14:44:44.285122,773,595,820,-1978,-8162,-8120
2025-07-04T14:44:44.291205,1433,1064,1440,-4104,-8733,-7954
2025-07-04T14:44:44.297440,1685,1400,1710,-3172,-8887,-8092
2025-07-04T14:44:44.485098,806,612,820,-2164,-8327,-8296
2025-07-04T14:44:44.491362,1437,1064,1440,-4149,-8728,-7954
2025-07-04T14:44:44.497377,1742,1456,1710,-3178,-8943,-8092
2025-07-04T14:44:44.685142,789,605,820,-2047,-8340,-8342
2025-07-04T14:44:44.691309,1443,1064,1440,-4213,-8820,-8041
2025-07-04T14:44:44.697426,1743,1456,1710,-3188,-8738,-7974
2025-07-04T14:44:44.885178,778,588,820,-2113,-8085,-8057
2025-07-04T14:44:44.891357,1479,1102,1440,-4190,-8806,-8041
2025-07-04T14:44:44.897539,1742,1456,1710,-3182,-8713,-7974
2025-07-04T14:44:45.085215,834,651,820,-2028,-8545,-8468
2025-07-04T14:44:45.091367,1474,1088,1440,-4300,-8657,-7974
2025-07-04T14:44:45.097555,1749,1458,1710,-3232,-8806,-8120
2025-07-04T14:44:45.285258,807,621,820,-2068,-8355,-8296
2025-07-04T14:44:45.291414,1462,1088,1440,-4157,-8842,-8041
2025-07-04T14:44:45.297564,1785,1491,1710,-3266,-8719,-7954
2025-07-04T14:44:45.485277,752,579,820,-1930,-8134,-8082
2025-07-04T14:44:45.491425,1475,1095,1440,-4230,-9074,-8296
2025-07-04T14:44:45.497590,1713,1421,1710,-3254,-8855,-8217
2025-07-04T14:44:45.685370,801,614,820,-2075,-8342,-8313
2025-07-04T14:44:45.691566,1456,1088,1440,-4097,-8733,-8066
2025-07-04T14:44:45.697639,1752,1449,1710,-3369,-8769,-7974
2025-07-04T14:44:45.885396,753,567,820,-2068,-8152,-8120
2025-07-04T14:44:45.891552,1526,1149,1440,-4195,-8638,-7974
2025-07-04T14:44:45.897775,1690,1404,1710,-3173,-8944,-8120
2025-07-04T14:44:46.085425,773,593,820,-1997,-8344,-8313
2025-07-04T14:44:46.091591,1528,1146,1440,-4238,-9188,-8451
2025-07-04T14:44:46.097811,1695,1409,1710,-3183,-8887,-8120
2025-07-04T14:44:46.285408,837,649,820,-2083,-8337,-8296
2025-07-04T14:44:46.291640,1455,1076,1440,-4216,-9039,-8410
2025-07-04T14:44:46.297720,1751,1456,1710,-3284,-8959,-8150
2025-07-04T14:44:46.485480,734,562,820,-1912,-8152,-8120
2025-07-04T14:44:46.491630,1451,1071,1440,-4216,-8763,-8092
2025-07-04T14:44:46.497751,1756,1465,1710,-3235,-8666,-7951
2025-07-04T14:44:46.685552,791,616,820,-1941,-8350,-8313
2025-07-04T14:44:46.691644,1494,1116,1440,-4206,-8605,-7954
2025-07-04T14:44:46.697824,1703,1404,1710,-3316,-8820,-8120
2025-07-04T14:44:46.885579,795,602,820,-2146,-8343,-8313
2025-07-04T14:44:46.891665,1475,1092,1440,-4253,-8742,-8066
2025-07-04T14:44:46.897892,1746,1446,1710,-3329,-8801,-7970
2025-07-04T14:44:47.085610,785,609,820,-1956,-8324,-8296
2025-07-04T14:44:47.091706,1486,1102,1440,-4266,-9155,-8410
2025-07-04T14:44:47.097905,1740,1454,1710,-3189,-8912,-8137
2025-07-04T14:44:47.285740,734,555,820,-1985,-8068,-8034
2025-07-04T14:44:47.291840,1455,1078,1440,-4190,-8736,-8057
2025-07-04T14:44:47.297959,1699,1418,1710,-3122,-8819,-8109
2025-07-04T14:44:47.485719,753,576,820,-1957,-8152,-8120
2025-07-04T14:44:47.491839,1463,1081,1440,-4246,-8703,-8066
2025-07-04T14:44:47.497981,1743,1449,1710,-3274,-8852,-7974
2025-07-04T14:44:47.685731,799,602,820,-2191,-8334,-8313
2025-07-04T14:44:47.691901,1496,1125,1440,-4127,-8749,-8092
2025-07-04T14:44:47.698072,1709,1416,1710,-3261,-8815,-8120
2025-07-04T14:44:47.885723,810,619,820,-2126,-8411,-8393
2025-07-04T14:44:47.891888,1444,1062,1440,-4245,-8744,-8109
2025-07-04T14:44:47.898140,1688,1404,1710,-3149,-8861,-8150
2025-07-04T14:44:48.085902,872,677,820,-2169,-8521,-8468
2025-07-04T14:44:48.091940,1443,1067,1440,-4184,-8745,-8057
2025-07-04T14:44:48.098046,1700,1407,1710,-3259,-9228,-8535
2025-07-04T14:44:48.285788,842,651,820,-2113,-8355,-8313
2025-07-04T14:44:48.291932,1459,1088,1440,-4126,-9043,-8451
2025-07-04T14:44:48.298111,1730,1439,1710,-3228,-8672,-7970
2025-07-04T14:44:48.485852,789,605,820,-2055,-8160,-8120
2025-07-04T14:44:48.491939,1487,1116,1440,-4121,-9064,-8451
2025-07-04T14:44:48.498083,1704,1407,1710,-3306,-8918,-8137
2025-07-04T14:44:48.685899,840,651,820,-2095,-8515,-8468
2025-07-04T14:44:48.692011,1453,1069,1440,-4267,-8753,-8057
2025-07-04T14:44:48.698143,1685,1397,1710,-3202,-8860,-8137
2025-07-04T14:44:48.885866,856,680,820,-1959,-8526,-8518
2025-07-04T14:44:48.892047,1484,1104,1440,-4221,-8735,-8057
2025-07-04T14:44:48.898226,1749,1461,1710,-3211,-8680,-7970
2025-07-04T14:44:49.085939,772,598,820,-1944,-8080,-8041
2025-07-04T14:44:49.092164,1512,1135,1440,-4193,-8601,-7954
2025-07-04T14:44:49.098241,1711,1425,1710,-3176,-8696,-7974
2025-07-04T14:44:49.285973,785,593,820,-2141,-8143,-8092
2025-07-04T14:44:49.292110,1463,1088,1440,-4168,-9065,-8451
2025-07-04T14:44:49.298284,1706,1421,1710,-3173,-8954,-8137
2025-07-04T14:44:49.486002,790,605,820,-2057,-8127,-8082
2025-07-04T14:44:49.492153,1468,1088,1440,-4225,-9059,-8410
2025-07-04T14:44:49.498318,1726,1432,1710,-3261,-8639,-7970
2025-07-04T14:44:49.686037,813,628,820,-2051,-8148,-8120
2025-07-04T14:44:49.692254,1466,1088,1440,-4206,-9114,-8451
2025-07-04T14:44:49.698351,1718,1435,1710,-3153,-8649,-7974
2025-07-04T14:44:49.886095,794,605,820,-2105,-8349,-8313
